,Heading,Article,Date,Subjectivity,Polarity,Content Subjectivity,Content Polarity
1859,"Chechen Leader, Amid Reshuffles, Says He's 'Ready To Die' For Putin","He also said it's ""his dream"" to leave office at some point, though he showed no signs of stepping down.",2017-11-28,0.5,0.2,0.2888888888888889,-0.15555555555555559
1860,Defiant North Korea Launches What Appears To Be ICBM,It's Pyongyang's first missile launch since firing over Japan in September.,2017-11-28,0.0,0.0,0.3333333333333333,0.25
1861,"Amnesty Accuses Shell Of Complicity In Killings, Torture In Nigeria In The 1990s",The human rights group is calling for a criminal investigation of the oil giant.,2017-11-28,0.0,0.0,0.5499999999999999,-0.13333333333333333
1862,Justin Trudeau Delivers Formal Apology To LGBTQ Canadians,"The systematic persecution of LGBTQ public servants is “an often overlooked part of Canada’s history,” Trudeau said Tuesday.",2017-11-28,0.0,0.0,0.06666666666666667,0.0
1863,Archbishop Of Canterbury: 'I Genuinely Do Not Understand' Christians Who Back Trump,Most Rev. Justin Welby is baffled by Christians who back the president.,2017-11-27,0.25,-0.1,0.25,0.25
1864,Watch This British Archbishop End His Decade-Long Protest Of Robert Mugabe,"Though Mugabe is out, Dr. John Sentamu warned that Zimbabwe's past ""won't go away.""",2017-11-27,0.0,0.0,0.25,-0.25
1865,How Many More Religiously Insensitive ‘Mistakes’ Is Our Military Going To Make At Bagram Airfield?,"Just over two months ago, a Taliban suicide bomber blew himself up at an entrance to Bagram Airfield in Afghanistan, killing",2017-11-27,0.3375,0.225,0.0,0.0
1866,Pope Francis Arrives In Myanmar To Navigate Diplomatic Minefield,The pope met with a military commander accused of overseeing a brutal campaign against the country's Rohingya Muslims.,2017-11-27,0.0,0.0,0.55,-0.4875
1867,Vandals Shatter Windows At A Mosque In Poland,This isn't the first time the Warsaw mosque has received threats.,2017-11-27,0.0,0.0,0.3333333333333333,0.25
1868,South Korea Trolls North With Loudspeakers Blaring News On Defector,North Koreans within 12 miles of the border reportedly are hearing updates on the wounded soldier's condition.,2017-11-27,0.0,0.0,0.0,0.0
1869,Iran Warns It Will Increase Missile Range If Threatened By Europe,Iran has repeatedly said its missile program is defensive and not negotiable.,2017-11-26,0.0,0.0,0.0,0.0
1870,ISIS Raises The Stakes In Egypt After Deadly Sinai Mosque Attack,More than 300 people were killed in the attack at Al Rawdah mosque.,2017-11-26,0.4,-0.2,0.25,0.15
1871,"Gunmen In Eqypt Mosque Attack Carried ISIS Flag, Prosecutor Says","No group has claimed responsibility, but Egyptian forces are battling a stubborn Islamic State affiliate in the region.",2017-11-26,0.0,0.0,0.0,0.0
1872,Death Toll Rises To 305 In Attack On Egypt Mosque,"No group has claimed responsibility, but officials said gunmen brandished an Islamic State flag.",2017-11-25,0.0,0.0,0.0,0.0
1873,Police Seek Answers On Central London's Black Friday Panic,"Two men were questioned in connection with an incident that caused chaos, but no casualties.",2017-11-25,0.3416666666666667,-0.08333333333333333,0.0,0.0
1874,Aid Workers And Medical Supplies Trickle Into Yemen As Saudis Ease Blockade,A nearly three-week military blockade has left about 7 million people facing famine.,2017-11-25,0.0,0.0,0.16666666666666666,0.0
1875,A Dissident Cuban Artist Reflects On The Anniversary Of Castro's Death,"A year after he was arrested for celebrating the ex-president's death, a Cuban dissident looks back on the first year without Fidel.",2017-11-25,0.0,0.0,0.16666666666666666,0.125
1876,Mexico Creates Pacific Marine Sanctuary To Protect Its 'Crown Jewel',"The Revillagigedo Archipelago National Park spans more than 57,000 square miles — roughly the size of Georgia.",2017-11-24,0.0,0.0,0.45,0.2
1877,Zimbabwe Swears In Emmerson 'The Crocodile' Mnangagwa As President,It brings the curtain down on Robert Mugabe's 37 years in power.,2017-11-24,0.0,0.0,0.2888888888888889,-0.15555555555555559
1878,South African Court More Than Doubles Oscar Pistorius Sentence,The athlete was originally convicted of manslaughter and sentenced to five years in jail.,2017-11-24,0.25,0.25,0.375,0.1375
1879,Indian Politician Offers $1.5 Million To Behead Bollywood Star,Surajpal Amu of India's ruling party offered the bounty amid controversy over a film's representation of a Hindu legend.,2017-11-24,0.0,0.1,0.0,0.0
1880,Anxiety Runs High In China As Another Kindergarten Is Accused Of Child Abuse,"Teachers at a Beijing school allegedly forced children to take pills, jabbed them with needles and made them strip naked.",2017-11-24,0.5399999999999999,0.16,0.30000000000000004,-0.15000000000000002
1881,British Black Friday Was Once Again A Wonderfully Civilized Occasion,"No lines, no brawls. It all looked almost enjoyable.",2017-11-24,0.4444444444444445,0.07777777777777779,0.6,0.5
1882,Central London Panics Over Reports Of Shots Fired,But police could not find evidence of gunshots.,2017-11-24,0.25,0.0,0.0,0.0
1883,"Reeva Steenkamp Can ‘Rest In Peace' After Oscar Pistorius’ Sentence Doubled, Her Family Says",A South Africa court resentenced Pistorius to over 13 years in prison for the 2013 murder of his girlfriend.,2017-11-24,0.0,0.0,0.0,0.0
1884,305 Killed After Suspected Militants Target Egyptian Mosque: State Media,No group immediately claimed responsibility for the attack.,2017-11-24,0.0,-0.2,0.0,0.0
1885,Police Storm Detention Center As Australia Slammed Over 'Humanitarian Crisis',"“Australia has in effect created and then abandoned a humanitarian crisis,"" a UN watchdog group said of the situation on Manus Island.",2017-11-23,0.1,-0.1,0.0,0.0
1886,Besieged Syrians Are Eating Trash To Survive,Children are dying of starvation in the rebel-held region of eastern Ghouta.,2017-11-23,0.0,0.0,0.0,0.0
1887,Myanmar Reaches Deal To Bring Rohingya Muslims Home,But rights groups are concerned Myanmar's army could still pose a threat.,2017-11-23,0.0,0.0,0.0,0.0
1888,The Mysterious Disappearance Of An Argentine Navy Sub Just Got Even Stranger,"An abnormal sound ""consistent with an explosion"" was detected near where the vessel disappeared last week, said the Argentine navy.",2017-11-23,1.0,0.0,0.2791666666666667,0.1875
1889,"North Korea's Wounded Defector A 'Nice Guy,' Says Surgeon",Video of the soldier's escape showed him stumbling over the border and being dragged unconscious by South Korean troops.,2017-11-23,1.0,0.6,0.0,0.0
1890,Former Mugabe Deputy To Be Sworn In As President,"“The people have spoken. The voice of the people is the voice of God,” he told thousands of supporters.",2017-11-23,0.0,0.0,0.0,0.0
1891,Video Of Migrants Sold In Apparent Slave Auction In Libya Provokes Outrage Worldwide,"“I am horrified,” the UN secretary-general said.",2017-11-23,0.35,0.05,0.0,0.0
1892,"Chess Legend Slams Trump: 'In Any Game Of Wits, I Would Bet On Putin'",Garry Kasparov wants people to stop comparing politics to chess.,2017-11-22,0.4,-0.4,0.1,0.2
1893,Stunning CCTV Footage Shows North Korean Defector Being Shot By Border Guards,"“He is not going to die,"" one of the soldier's doctors in South Korea said Tuesday.",2017-11-22,1.0,0.5,0.0,0.0
1894,UN Court Convicts Ex-Bosnian Serb Commander Ratko Mladic Of Genocide,"“Mladic is the epitome of evil,"" said the UN's human rights chief Zeid Ra'ad al-Hussein.",2017-11-22,0.0,0.0,0.55,-0.5
1895,Saudi Prince Mohammed’s Achilles Heel: Misreading Tea Leaves In Washington,"Emboldened by perceived White House support, Saudi Crown Prince Mohammed bin Salman appears to have stepped up his risky",2017-11-22,0.0,0.0,0.0,0.0
1896,"'Zero Hope For Denuclearizing North Korea,' China Expert Says","Trump's designation of North Korea as a state sponsor of terrorism ""could greatly undermine"" a diplomatic solution.",2017-11-22,0.0,0.0,0.75,0.8
1897,"Illegal Student Labor Used To Assemble iPhone X, Apple Admits","Transit school students said they worked 11-hour shifts for required ""work experience.""",2017-11-22,0.5,-0.5,0.0,0.0
1898,3 Missing After U.S. Navy Transporter Crashes In Philippine Sea,The U.S. Seventh Fleet says search and rescue efforts are under way.,2017-11-22,0.05,-0.2,0.0,0.0
1899,October Was Mexico's Deadliest Month On Record,There has been an average of 69 killings per day in the crisis-torn country this year.,2017-11-22,0.0,0.0,0.39999999999999997,-0.15
1900,"Skype Removed From China's App Stores, Accused Of Violating Law",The internet phone and messaging app is the latest Western product to vanish amid a national cyber crackdown.,2017-11-22,0.0,0.0,0.45,0.25
1901,Landmark Buildings Around The World Light Up Red To Honor Christian Persecution Victims,"“In so many parts of the world today, people are denied work, housing, liberty or even their life because of their religious belief.""",2017-11-22,0.2333333333333333,0.13333333333333333,0.375,0.25
1902,"Suicide Bomber Kills 50 In Nigeria, Nation's Deadliest Attack This Year","The blast bears the hallmarks of a faction led by the group Abubakar Shekau, which forces women and girls to carry out suicide bombings.",2017-11-21,0.0,0.0,0.0,0.0
1903,Zimbabwe Parliament Begins Impeachment Process Against President Robert Mugabe,Thousands of people have joined mass protests against Mugabe and calls to resign have come from many sides.,2017-11-21,0.0,0.0,0.5,0.5
1904,State Department Officials Accuse Rex Tillerson Of Violating U.S. Law On Child Soldiers,A confidential “dissent” memo not previously reported said Tillerson breached the Child Soldiers Prevention Act.,2017-11-21,0.0,0.0,0.16666666666666666,0.08333333333333333
1905,"Apartheid In Myanmar: Rohingya Muslims Trapped In 'Open-Air Prison,' Amnesty Says",Rohingyas have endured decades of systematic discrimination by successive governments in Rakhine State.,2017-11-21,0.0,-0.2,0.0,0.0
1906,Iranian Hacker Charged With Stealing HBO 'Game Of Thrones' Episodes,"Charges were filed against Behzad Mesri in New York on Tuesday, though his whereabouts are unknown.",2017-11-21,0.4,-0.4,0.5272727272727272,0.018181818181818174
1907,Zimbabwe's New Leaders Are None Other Than Mugabe's Former 'Enforcers',"As the country celebrates its dictator's downfall, his authoritarian system remains intact.",2017-11-21,0.27651515151515155,0.0037878787878787845,0.0,0.0
1908,Rapper Nelly To Perform For All-Male Audience In Saudi Arabia,This might get awkward.,2017-11-21,0.0,0.0,1.0,-0.6
1909,"Over 2,000 Swedish Women Sign Letter Denouncing Sexism In Music Industry",The letter vows to “put shame back where it belongs ― with the perpetrators and the people protecting them.”,2017-11-21,0.0,0.0,0.0,0.0
1910,Lebanon's Hariri Returns To Beirut After Controversial Absence,It's the first time he has been back after resigning as prime minister and spurring a political crisis.,2017-11-21,0.475,0.26875000000000004,0.14444444444444446,0.08333333333333333
1911,Zimbabwe's President Robert Mugabe Resigns,The world's oldest serving president will step down after 37 years in power.,2017-11-21,0.0,0.0,0.2888888888888889,-0.15555555555555559
1912,Zimbabweans Celebrate In The Streets After Mugabe Resignation,"But after decades of authoritarian rule, the country faces a long road to reform its repressive political system.",2017-11-21,0.0,0.0,0.25,-0.025
1913,The War For World Leadership,"While some political insiders proclaimed that the isolationist philosophy of ""America First has been vindicated on the world",2017-11-21,0.0,0.0,0.21666666666666667,0.125
1914,Zimbabwe's Mugabe Clings To Power As His Resignation Deadline Passes,He and his wife Grace would be granted full immunity if he steps down.,2017-11-20,0.0,0.0,0.4194444444444445,0.0972222222222222
1915,Transition In The Middle East: Transition To What?,"Transition is the name of the game in the Middle East and North Africa. The question is, transition to what? Dominating the",2017-11-20,0.0,0.0,0.2,-0.2
1916,What You Need To Know About 'Germany's Brexit Moment',The breakdown of coalition talks has plunged German politics into a deep political crisis.,2017-11-20,0.0,0.0,0.16666666666666666,0.0
1917,The Two Camps Illusion,"In recent weeks, Saudi Arabia has become more assertive. It first imposed a total blockade on Yemen, despite claims that",2017-11-20,0.0,0.0,0.4583333333333333,0.1875
1918,Trump Designates North Korea A State Sponsor Of Terrorism,This will slap more sanctions on the isolated nation.,2017-11-20,0.0,0.0,0.5,0.5
1919,2.5 Million Yemenis Lack Access To Clean Water: Red Cross,"A Saudi-led coalition is cutting off supplies to vulnerable Yemenis, the Red Cross said Monday.",2017-11-20,0.23333333333333336,0.12222222222222223,0.35,-0.275
1920,Stop The Use And Abuse Of Children In And For Armed Conflict,"We have the tools and resources to protect children better, but we have failed to do so.",2017-11-20,0.0,0.0,0.4,0.0
1921,Merkel's Fourth Term In Doubt,Efforts to form a coalition have failed.,2017-11-20,0.0,0.0,0.3,-0.5
1922,Myanmar’s Myriad Challenges Don’t Excuse Toxic And Unfounded Racism Against Rohingya,The prevailing perception of the Rohingya as foreign and fundamentally not “Burmese” is misplaced.,2017-11-20,0.05,-0.05,0.1625,-0.1625
1923,Justin Trudeau Will Formally Apologize For Canada's Past LGBTQ Persecution,The Canadian prime minister will deliver the apology later this month.,2017-11-20,0.25,-0.25,0.0,0.0
1924,Saudi-UAE Push To Mobilize Tribes Against Qatari Emir,"For now, the promotion of opponents of Sheikh Tamim appears to be more of a public relations stunt and fixture of the media war than a serious challenge.",2017-11-19,0.0,0.0,0.41111111111111115,0.05555555555555556
1925,At Least 15 Killed During Food Aid Stampede In Morocco,"A criminal investigation has been opened into the matter, officials said.",2017-11-19,0.2,-0.25,0.55,-0.4
1926,Argentina Detects Signals Believed To Be From Missing Submarine,Argentina said the calls were likely a sign the crew of 44 was trying to reestablish contact.,2017-11-19,0.05,-0.2,1.0,0.0
1927,Turkish Capital Bans LGBT Rights Events,Ankara officials said such activities could jeopardize public safety.,2017-11-19,0.0,0.0,0.2833333333333333,0.0
1928,Lebanon's Ex-PM Visits France Amid Saudi Kidnapping Rumors,"After announcing his resignation in Saudi Arabia, Saad al-Hariri says he will return to Beirut and clarify his position.",2017-11-18,0.0,0.0,0.0,0.0
1929,"In Television Address, Mugabe Defies Calls To Step Down Immediately",The 93-year-old leader has ruled the country for the last 37 years.,2017-11-18,0.2888888888888889,-0.15555555555555559,0.06666666666666667,0.0
1930,Satellite Images Indicate North Korea Is Working On A Ballistic Missile Submarine,"The images suggest Pyongyang is on an ""aggressive schedule"" to build the ship.",2017-11-17,0.0,0.0,0.0,0.0
1931,Iraqi Forces Take Back Country's Last ISIS-Held Town,The capture marks the end of the group's so-called caliphate.,2017-11-17,0.03333333333333333,0.0,0.0,0.0
1932,Zimbabwe's Longtime Leader Digs In Despite Army Takeover,Mugabe appeared in public for the first time since Zimbabwe's military took over three days ago.,2017-11-17,0.0,0.0,0.16666666666666666,0.049999999999999996
1933,"That List Of 33,000 Migrants Who Have Died Is Just A Slice Of The Tragedy","What's worse, we don’t even know most of their names.",2017-11-17,0.0,0.0,0.55,0.04999999999999999
1934,The Bogus Anti-BDS Hysteria,"The absurdity of the Israei lobby’s war against the BDS movement (i.e. the effort to Boycott, Divest and Sanction Israel",2017-11-17,0.0,0.0,0.0,0.0
1935,Pope Francis Blasts 'Perverse Attitudes' Of Climate Change Deniers,The U.S. remains the only country in the world to reject the Paris climate agreement.,2017-11-17,0.0,0.0,1.0,0.0
1936,Is Trump The Only Villain Of COP23?,Inside one of the world's longest climate conferences.,2017-11-17,1.0,0.0,0.0,0.0
1937,Lebanon's PM Is Back Home To Make The Country's Political Crisis Even Stranger,"After previously announcing his resignation while in Saudi Arabia, the Lebanese prime minister has now suspended that decision upon returning to Beirut.",2017-11-17,0.05,0.0,0.16666666666666666,-0.16666666666666666
1938,A Mysterious Stranger Has Been Leaving Flowers At This Boy's Grave For Decades,"And the BBC is on it, bless its heart.",2017-11-17,1.0,0.0,0.0,0.0
1939,Polish Woman Says She Was Dragged Out Of Church After Unfurling Anti-Racism Banner,"Her banner read, ""Racism is a sin.""",2017-11-17,0.0,0.0,0.0,0.0
1940,A Look Back At Zimbabwe President Robert Mugabe's Rise To Power,The decades-long ruler is one of Africa's most controversial faces.,2017-11-16,0.0,0.0,0.725,0.525
1941,Losing The Last Vestiges Of Our Moral Fabric,"The unspeakable atrocities that are happening in South Sudan are unfathomable, not only because of the scope of savagery",2017-11-16,0.15833333333333333,0.0,1.0,0.0
1942,'Religious Freedom' Clauses Are Point Of Contention As Australia Crafts Marriage Equality Laws,"Australians voted in favor of legalizing same-sex marriage. Now,  their lawmakers must decide what that means.",2017-11-16,0.25,0.0,0.0,0.0
1943,What You Need To Know About The Crisis In Zimbabwe,What looks a lot like a military coup is unfolding in the southern African nation.,2017-11-15,0.0,0.0,0.03333333333333333,-0.03333333333333333
1944,Photos Show 'Biblical' Flooding In Greece Following Severe Storm,More than a dozen people were killed in the flash floods.,2017-11-15,0.1,0.0,0.25,0.15
1945,Prime Minister Saad Hariri’s Return To Lebanon: A Moment Of Truth,The proof will be in the pudding when Prime Minister Saad Hariri returns home in the coming days to a country in which friend,2017-11-15,0.0,0.0,0.0,0.0
1946,Tillerson Steps Up Pressure On Myanmar's Leaders Amid Rohingya Crisis,"""Scenes of what occurred are just horrific,"" he said.",2017-11-15,0.0,0.0,1.0,-1.0
1947,New Details Emerge About The Attack In Niger That Killed 4 U.S. Soldiers,A new report suggests the soldiers were greatly overpowered in an hours-long assault by militants.,2017-11-15,0.22727272727272727,-0.03181818181818183,0.6022727272727273,0.4681818181818182
1948,Zimbabwe Military Issues Statement After Seizing Power,"”We are only targeting criminals around [President Mugabe] who are committing crimes that are causing social and economic suffering in the country in order to bring them to justice.""",2017-11-15,0.1,-0.1,0.4222222222222222,0.07777777777777778
1949,Zimbabwe’s Military Seizes Power And Holds President Mugabe Amid Rumors Of A Coup,"The military said the 93-year-old president was ""safe and sound.""",2017-11-15,0.1,-0.1,0.3333333333333333,0.26666666666666666
1950,Why I Refused To Greet President Macron At France's Commemorative Ceremony,"Since the Charlie Hebdo attack, the number of acts of terrorism on our soil continues to multiply, but strangely, the voice of victims is becoming increasingly scarce.",2017-11-14,0.0,0.0,0.3333333333333333,0.13333333333333333
1951,The Top 1 Percent Owns Over Half Of The World's Household Wealth,"The very, very rich are getting very, very richer.",2017-11-14,0.3333333333333333,0.16666666666666669,0.6825000000000001,0.37375
1952,France Grapples With Terrorism Two Years After The Paris Attacks,This week marks the second anniversary of the brutal attacks in the French capital.,2017-11-14,0.0,0.0,0.3333333333333333,-0.2916666666666667
1953,Olympic Weightlifter To Sell Gold Medal For Iran's Earthquake Victims,"Iranian Kianoush Rostami, who earned the medal in Rio last year, says it belongs to his people.",2017-11-14,0.0,0.0,0.06666666666666667,0.0
1954,"Australian Survey Says 'Yes' To Same-Sex Marriage, Country One Step Closer To Equality",More than 61 percent of the country's respondents voiced their support in the nationwide poll.,2017-11-14,0.0,0.0,0.5,0.5
1955,Fossil Fuel-Touting U.S. Heckled By Singing Demonstrators At UN Climate Summit,"“We see right through your greed,"" protesters sang.",2017-11-14,0.0,0.0,0.5357142857142857,0.2857142857142857
1956,Iran Halts Earthquake Rescue Operations As Survivors Battle Hunger And Cold,"More than 30,000 houses were damaged and at least two villages were completely destroyed.",2017-11-14,1.0,-0.6,0.43333333333333335,0.10000000000000002
1957,Thick Cloud Of Toxic Smog Envelops New Delhi Despite Emergency Efforts,"A U.S. embassy measure showed levels of poisonous airborne particles had reached 495, compared with the upper limit of “good” quality air at 50.",2017-11-13,0.4647727272727272,-0.08181818181818185,0.30000000000000004,0.35
1958,Trump Laughs As Philippine Leader Duterte Calls Journalists 'Spies',Dozens of journalists in the Philippines have been killed with impunity over the last decade.,2017-11-13,0.0,0.0,0.03333333333333333,-0.1
1959,Making America Great Again—In Niger?,One wonders how many Niger-like tragedies it will take before we get the message.,2017-11-13,0.75,0.8,0.5,0.5
1960,Trump Doubles Down On Sanctions And Regime Change For Venezuela,"On Nov. 3, President Maduro of Venezuela proposed a meeting with creditors, for Nov. 13 in Caracas, to discuss a restructuring",2017-11-13,0.2888888888888889,-0.15555555555555559,0.0,0.0
1961,Islamic Development Bank (IDB) -- Another Saudi Stooge,"Saudi discrimination against everything Iranian and Shia is so broad, it has even appeared in my own life. Am I upset? Yes",2017-11-13,0.0,0.0,0.65625,0.33125
1962,Arab Media: Saudi Purge Promises Tighter Control,By James M. Dorsey Long-standing Saudi efforts to dominate the pan-Arab media landscape appear to have moved into high gear,2017-11-12,0.0,0.0,0.5399999999999999,0.16
1963,Lebanon's Ex-PM Says He Will Return Amid Claims He Was Being Held Captive By Saudis,Saad al-Hariri also hinted that he could take back his resignation.,2017-11-12,0.6,0.2,0.0,0.0
1964,Hundreds Dead After Powerful Earthquake Hits Border Between Iran And Iraq,It was Iran’s deadliest earthquake in more than a decade.,2017-11-12,0.7,0.04999999999999999,0.5,0.5
1965,"Riz Ahmed, Mindy Kaling, Aziz Ansari And Others Launch Appeal For Rohingya","More than a million members of Myanmar's Rohingya community face government persecution including eviction, torture and rape.",2017-11-11,0.0,0.0,0.5,0.5
1966,Lebanese President Calls On Saudis To Explain Why Ex-PM Has Not Returned,"President Michel Aoun told foreign ambassadors that Hariri, who resigned suddenly while in Saudi Arabia a week ago, had been “kidnapped.""",2017-11-11,0.0,0.0,0.3125,-0.0625
1967,He Fled Violence In Guinea. She Escaped Misogyny In Pakistan. They Found New Hope In Brooklyn.,A nonprofit is helping refugees build careers in America as the Trump administration restricts  resettlement.,2017-11-11,0.45454545454545453,0.13636363636363635,0.0,0.0
1968,"Army Sgt. La David Johnson Found Bound, May Have Been Executed In Niger: Report",Niger villagers recount finding Johnson's body with a  large head wound.,2017-11-11,0.0,0.0,0.42857142857142855,0.21428571428571427
1969,Fears Grow That Lebanon's Ex-PM Is Being Held Against His Will By Saudis,France became the first Western country to indicate that Saudi Arabia was holding Hariri against his will.,2017-11-10,0.0,0.0,0.16666666666666666,0.125
1970,Murder In The Hague: Saudi-Iranian Proxy War Heats Up,"By James M. Dorsey Shot dead this week on a street in The Hague, Ahmad Mola Nissi may have died the violent life he lived",2017-11-10,0.0,0.0,0.7,-0.5
1971,America: Beware Of Kushner Of Arabia,"Very quickly and with Trump’s blessing, Kushner has effectively become America’s “Mr. Middle East.”",2017-11-10,0.0,0.0,0.4833333333333334,0.3444444444444444
1972,"Millions In Yemen Will Die Unless Saudi Aid Blockade Is Lifted, UN Warns","The Saudi-led war in Yemen, which has been orchestrated by Crown Prince Mohammed bin Salman, has left the country on the brink of famine.",2017-11-10,0.0,0.0,0.0,0.0
1973,UPDATE: Russian News Site RT Registered As Foreign Agent After U.S. Request,"Russia might retaliate, its embassy says.",2017-11-10,0.0625,-0.0625,0.0,0.0
1974,Israel Lobby Pushing New All-Out Ban On Campus Criticism Of Israel,"I guess it’s a sign of desperation. Interest in Israel among young Jews is way down. And among the community at large, only",2017-11-09,0.45454545454545453,0.13636363636363635,0.5293650793650794,0.03968253968253967
1975,The Berlin Wall And The Value Of Owning Our Past,We must come to terms with both the failures and the triumphs that led us to where we are today.,2017-11-09,0.25,-0.25,0.0,0.0
1976,The Weinstein Effect: How A Hollywood Scandal Sparked A Global Movement Against Sexual Misconduct,"From #MeToo and #BalanceTonPorc to #QuellaVoltaChe, people are speaking out.",2017-11-08,0.4166666666666667,0.25,0.0,0.0
1977,It Only Took Trump One Year To Trash America's Global Reputation,"“The rest of the world is shaking its head,"" one expert said.",2017-11-08,0.5,0.0,0.0,0.0
1978,Health Emergency Declared In New Delhi As Toxic Smog Blankets The City,"“Delhi has become a gas chamber,"" a senior Indian official warned this week.",2017-11-08,0.45454545454545453,0.13636363636363635,0.0,0.0
1979,Getting The Saudi Fight Against Corruption Right,Kuwaiti billionaire Maan al-Sanea should have seen it coming...,2017-11-08,0.5357142857142857,0.2857142857142857,0.0,0.0
1980,Trump's Surprise Visit To The DMZ Canceled Due To Bad Weather,"Before the trip was scuttled, Trump's team had dubbed it a ""historic moment.""",2017-11-08,0.5208333333333333,-0.4124999999999999,0.0,0.0
1981,Bodies Of 26 Female Teenage Migrants Found In The Mediterranean,They may have been destined for prostitution.,2017-11-07,0.08333333333333333,0.0,0.0,0.0
1982,Remembering Dina,Neither Indians nor Pakistanis quite forgave Dina Wadia for being Muhammad Ali Jinnah’s daughter. The former made her life,2017-11-07,0.0,0.0,0.0,0.0
1983,Gunmen Disguised As Police Storm TV Station In Afghan Capital,The militant group Islamic State claimed responsibility for the attack.,2017-11-07,0.0,0.0,0.0,0.0
1984,Saudi Crown Prince’s Unprecedented Power Grab Could Come To Haunt Him,Saudi Crown Prince Mohammed bin Salman has won the first round of what could prove to be an unprecedented power grab that,2017-11-07,0.9,0.6,0.5444444444444444,0.21666666666666665
1985,Inside The Lavish Makeshift Prison Where Arrested Saudi Royals Are Being Held,"The Ritz-Carlton is ""among the most majestic five-star hotels in Saudi Arabia.""",2017-11-07,0.0,0.0,0.5,0.5
1986,The World's Largest Climate Change Summit Starts Today. Here's What's Happening.,It is the first annual meeting of the United Nations group since President Donald Trump announced the U.S. would withdraw from the Paris climate deal.,2017-11-06,0.0,0.0,0.3333333333333333,0.25
1987,Things That Go Bump In The Night In Saudi Arabia,Saturday night was a busy one for Saudi Arabia’s Crown Prince Mohammed bin Salman. The kingdom’s 32-year-old heir to the,2017-11-06,0.0,0.0,0.3,0.1
1988,How Trump Can Avoid New Korean War: Emulate Nixon’s Opening To China,Donald Trump’s 12-day Asia trip threatens to bring war with North Korea closer. Aides say Trump plans to use the trip to,2017-11-06,0.45454545454545453,0.13636363636363635,0.0,0.0
1989,The Middle East: It Will Only Get Worse,"As Saudi Arabia reels from Crown Prince Mohammed bin Salman’s frontal assault on the kingdom’s elite, indications are that",2017-11-06,0.5333333333333333,-0.13333333333333333,0.0,0.0
1990,New Coke Ad About Saudi Women Driving Has People Feeling All Kinds Of Ways,"The ad features a Saudi dad teaching his daughter how to drive, weeks after the country announced a lifting of the ban on female drivers.",2017-11-06,0.45454545454545453,0.13636363636363635,0.16666666666666666,0.0
1991,Unimaginable Brutality In Iranian Regime's Prisons Unveiled By An Escaped Ahwazi Political Prisoner,"Ghazi Haidari is drowning in his own blood. The prominent Ahwazi writer, historian and activist from Arab Ahwaz region in",2017-11-06,0.1,0.0,1.0,0.55
1992,Here's A List Of Countries And Leaders Trump Has Insulted Since His Election,"No country is safe, it seems.",2017-11-05,0.0,0.0,0.5,0.5
1993,What Is The Massive Document Leak Known As The Paradise Papers?,"Queen Elizabeth II, Bono, Wilbur Ross and Russian billionaires are just some of the people involved.",2017-11-05,1.0,0.0,0.0,0.0
1994,Catalonia's Deposed Leader Surrenders To Police,A Spanish judge issued an arrest warrant for Puigdemont after the independence crisis.,2017-11-05,0.0,0.0,0.0,-0.025
1995,The North Korea Crisis Looms Over Trump's Visit To Japan,"Sometimes a forgotten player in the crisis, Japan is feeling the weight of the escalating nuclear tensions.",2017-11-05,0.0,0.0,0.0,0.0
1996,"Experts Urge Trump: 'Stick To The Script' In Asia, Don't Provoke North Korea",Washington and Pyongyang have engaged in an escalating war of words.,2017-11-04,0.0,0.0,0.0,0.0
1997,Saudi Arabia Says It Intercepts Missile Close To Capital,No casualties were reported.,2017-11-04,0.0,0.0,0.0,0.0
1998,"Lebanese Prime Minister Resigns, Attacking Iran, Hezbollah",Saad al-Hariri said he believed there was an assassination plot against him.,2017-11-04,0.0,0.0,0.0,0.0
1999,Balfour: The Shame And Dangers Of Ignoring Arab Opinion And Rights,"In 1919, following the first World War, the victorious Allied Powers met in Paris to remake the world. The prime ministers",2017-11-04,0.0,0.0,0.21666666666666667,0.125
2000,At Least 19 Dead As Typhoon Damrey Sweeps Into Vietnam,The storm hit just days ahead of the APEC summit of Asia-Pacific leaders.,2017-11-04,0.4,-0.25,0.0,0.0
2001,Spain Issues Arrest Warrant For Ousted Catalan Leader,Puigdemont left for Belgium after Catalonia’s regional government was sacked.,2017-11-03,0.0,-0.05,0.0,0.0
2002,Even France's Far-Right Doesn't Like Trump,A new poll shows that French distaste for the American president keeps growing.,2017-11-03,0.0,0.0,0.15151515151515152,0.04545454545454545
2003,U.S. Strikes Target Islamic State Militants In Somalia,An official said the strikes were conducted in northeastern Somalia.,2017-11-03,0.0,0.0,0.0,0.0
2004,ISIS Claims Responsibility For New York City Terror Attack,President Donald Trump said the U.S. military was already retaliating.,2017-11-03,0.45454545454545453,0.13636363636363635,0.1,-0.1
2005,Self-Determination Is An Inalienable Right,The Iraqi Kurds’ referendum that was conducted several weeks ago won an overwhelming majority in favor of independence but,2017-11-03,0.5357142857142857,0.2857142857142857,0.5,0.25
2006,Myanmar's Aung San Suu Kyi Visits Rahkine For First Time Since Thousands Of Rohingya Fled,The Nobel Peace Prize winner has faced heavy international criticism for not taking a higher profile in responding to what U.N. officials have called “ethnic cleansing” by the army.,2017-11-02,0.3333333333333333,0.25,0.3333333333333333,0.016666666666666663
