,Heading,Article,Date
551,Rural Midwest Hospitals Are Struggling To Handle COVID Surge,"Counties across Wisconsin, North Dakota, South Dakota, and Montana now sit among the top in the U.S. for new COVID cases per capita, researchers say.",2020-10-17
552,Pence Ordered U.S. Borders Closed After CDC Experts Refused,The order came after a top doctor refused to comply with a Trump administration directive.,2020-10-03
553,Read The Latest On Trump’s Health And The Spread Of COVID-19 Among Republicans,The coronavirus continues to rage through Trump’s inner circle and high-level Republican politics.,2020-10-03
554,Attorney Steve Barnes Of Cellino & Barnes Dies In Plane Crash,"Barnes, whose firm was known for its ads and catchy jingle, died in a small plane crash along with his niece, Elizabeth Barnes.",2020-10-03
555,"Shooting At Large Biker Gathering In Iowa Leaves 1 Dead, 7 Injured","About 100 people were gathered inside a building in Waterloo when there was “some kind of confrontation,"" police said.",2020-09-27
556,Portland Sees Another Night Of Protests But Lower Turnout At Right-Wing Rally,Thousands were expected to attend the Proud Boys-sponsored event but only hundreds showed up.,2020-09-27
557,Portland Bracing For Large Right-Wing Rally In Support Of Trump,Police are preparing for possible clashes as thousands are expected to attend the Proud Boys-sponsored event.,2020-09-26
558,"Walmart, Amazon Donate To QAnon-Promoting Tennessee Politician",The corporate backing for lawmakers supporting QAnon content shows how the conspiracy theory is penetrating mainstream politics.,2020-09-19
559,Underwater And On Fire: U.S. Climate Change Magnifies Extremes,"As the East Coast gets drenched and the drier West Coast is ablaze, climate change may not be the only factor.",2020-09-19
560,Parents Say Son Died In Wildfire Trying To Save Grandmother,"Wyatt Tofte and grandmother Peggy Mosso perished -- along with the family dog, Duke -- trying to escape the fire that engulfed their Oregon home.",2020-09-12
561,"College Students Test Positive For Coronavirus, Throw Party Anyway","Police cited six men who attended a house party near Miami University in Oxford, Ohio, for violating mass gathering and quarantine rules.",2020-09-12
562,"Naya Rivera Called For Help As She Drowned, According To Autopsy Report","The ""Glee"" actor “knew how to swim well,” the report said.",2020-09-12
563,"Maine Wedding Linked To More Than 140 COVID-19 Cases, 3 Deaths: State CDC","The 147 cases include 19 at a nursing home and 72 at a county jail. The three who died did not attend the Aug. 7 wedding, authorities said.",2020-09-06
564,California Wildfire Traps Campers In National Forest,The state is currently in the grip of a brutal heat wave.,2020-09-06
565,'World's Loneliest Elephant' Will Leave Zoo To Embark On New Life,Kaavan has languished at a zoo in the Pakistani capital of Islamabad for more than 35 years. Now he'll finally get to leave.,2020-09-05
566,Pro-Cop Rally Draws Scores To Kenosha Amid Protests Against Police Violence,The rally pushed back on the Wisconsin city's protests against police brutality and racial injustice happening daily since police shot Jacob Blake this month.,2020-08-30
567,"1 Person Killed In Portland As Protesters, Trump Supporters Clash",It wasn’t clear if the shooting was linked to fights that broke out as a caravan of about 600 vehicles was confronted by counter-demonstrators in the city’s downtown Saturday night.,2020-08-30
568,Arkansas Sheriff Resigns After He's Caught On Tape In Racist Tirade,Todd Wright resigned after a local newspaper identified his voice in a recording that went viral earlier this year.,2020-08-30
569,Weeks Without Power Or Water Lie Ahead As Laura Cleanup Begins,President Trump toured the damage in Louisiana and Texas on Saturday as the death toll from the hurricane rose to 16.,2020-08-29
570,"A Year After Elijah McClain's Death, Activists Want Charges",Elijah McClain died a year ago. His family and activists are still fighting for justice.,2020-08-23
571,It's A Tiny Giant Panda! Mei Xiang Gives Birth On Panda Cam At National Zoo,"Mom is ""nursing her cub and cuddling it close,"" say thrilled zoo officials.",2020-08-22
572,"Robert Trump, The President’s Younger Brother, Dead At 71",The president visited his brother at a New York City hospital on Friday after White House officials said he had become seriously ill.,2020-08-16
573,Bull Chases Firefighters Battling California Wildfire,"The animal ""wasn't clowning around,"" said the Ventura County Fire Department, whose crews were tackling the Lake Fire north of Los Angeles.",2020-08-15
574,Georgia School Reports 9 Coronavirus Cases After Photos Of Packed Hallways Go Viral,"Those who tested positive for COVID-19 at North Paulding High School included students and staff members, the principal said in a letter.",2020-08-09
575,North Carolina Rocked With 5.1 Magnitude Earthquake,The quake was the strongest to hit the state since 1916. No injuries or damage were immediately reported.,2020-08-09
576,Postal Service Reshuffles Leadership As Democrats Push For Answers On Delays,The postmaster general offered a gloomy picture of the agency while also claiming it is prepared for an increase in mail-in ballots in November.,2020-08-08
577,"Marines Halt Search For 8 Missing Troops Off Southern California Coast, All Presumed Dead","The Marines were attached to the 15th Marine Expeditionary Unit, based at nearby Camp Pendleton, north of San Diego.",2020-08-02
578,SpaceX Capsule And NASA Astronauts Make First Splashdown In 45 Years,Test pilots Doug Hurley and Bob Behnken rode the SpaceX Dragon capsule back to Earth.,2020-08-02
579,Financially Struggling Zoos Could Be Latest Pandemic Victims,"Even as they reopen, zoos and aquariums from Alaska to Florida are seeing few visitors, prompting administrators to plead for support.",2020-08-02
580,Tropical Storm Isaias Nears Virus-Hit Florida After Lashing The Bahamas,"The governor said the state is anticipating power outages and asked residents to have a week’s supply of water, food and medicine on hand.",2020-08-02
581,"Airplane Midair Collision Kills 7, Including Alaska State Legislator","Rep. Gary Knopp and 6 others died Friday after two small airplanes collided near the airport in Soldotna, Alaska.",2020-08-01
582,James Murdoch Quits News Corp Board And Everyone Cracks The Same Jokes,"""James Murdoch giving us the gap season of Succession we didn't ask for,"" one Twitter user responded to the news.",2020-08-01
583,Minnesota Couple Wears Nazi Face Masks To Walmart After State Mask Mandate,"A woman seen wearing the mask insisted that she is ""not a Nazi"" and that she was making a political statement.",2020-07-26
584,"Florida Reports Over 15,000 COVID-19 Cases In Single-Day Record",The state's daily increases in cases have already surpassed the highest daily tally reported by any European country during the height of the pandemic there.,2020-07-12
585,"Minneapolis Shooting Leaves 1 Dead, 11 Injured",Police have not said what may have prompted the shooting.,2020-06-21
586,Don Lemon Responds To Dave Chappelle's Criticism Of Him In New '8:46' Netflix Special,The comedian called out Lemon during his powerful special addressing the police killing of George Floyd.,2020-06-13
587,"U.S. Cities Assess Protest Damage, Await Another Day Of Unrest","The droves of people congregating in chanting demonstrations threatened to trigger new outbreaks, a fact overshadowed by the boiling tensions.",2020-05-31
588,Protesters Converge On White House For Second Straight Day,"D.C.Police wore tactical gear as they, along with the D.C. National Guard, blockaded protesters.",2020-05-31
589,13 Sailors On The USS Theodore Roosevelt Again Test Positive For COVID-19 After Reportedly Recovering,The sailors had returned to duty on the aircraft carrier after previously testing negative. They have all been taken off the ship.,2020-05-17
590,How New York Suffered Nearly 10 Times The Number of Deaths As California,"California’s governor and San Francisco’s mayor worked together to act early in confronting the COVID threat. For Andrew Cuomo and Bill de Blasio, it was a different story, and 27,000 New Yorkers have died so far.",2020-05-17
591,Governors Call Trump's Testing Claims 'Delusional' And 'Absolutely False',"Ralph Northam and Larry Hogan told Sunday talk shows that states do not have the testing supplies needed to ""reopen"" the economy by May 1.",2020-04-19
592,Coronavirus Pandemic Prompts Spike In Demand For Food Pantries,"Just as demand is skyrocketing, however, many of the food banks’ sources are drying up.",2020-04-19
593,U.S. Overtakes Italy With Largest Number Of Coronavirus Deaths,"According to Johns Hopkins data, the U.S. has set a grim new global record of 20,000 dead.",2020-04-11
594,FDA To Alex Jones: Stop Selling Fake Coronavirus Cures,"The conspiracy theorist has been hawking ""unapproved and unauthorized products"" that falsely claim to combat COVID-19, the agency said.",2020-04-11
595,"Americans Brace For 'Hardest, Saddest' Week Of Their Lives","The surgeon general warned the coronavirus pandemic would bring the ""hardest and saddest"" week of most Americans' lives.",2020-04-05
596,Bill De Blasio Claims Proof Coronavirus Spreads Without Symptoms Only Came Recently,"The New York City mayor claimed there was previously only ""suspicion"" of asymptomatic spread, despite warnings from health officials.",2020-04-05
597,Colleges Leave Sexual Assault Survivors In Limbo As Coronavirus Spreads,Title IX processes are being delayed across the country -- leaving many survivors to wonder what justice looks like during a pandemic.,2020-03-20
598,NYC Mayor Fears Schools Shut Down Over Coronavirus May Not Reopen This Year,Critics of Bill de Blasio's plan say keeping the nation's largest school district open could help the virus spread.,2020-03-15
599,Coronavirus Forces Mosques To Reassess Weekly Prayers And Ramadan Plans,"With Ramadan only a month and a half away, Muslim Americans are having to rethink everything from Friday prayers to planning Hajj.",2020-03-13
600,U.S. Masters Golf Tournament Postponed Due To Coronavirus Outbreak,The tournament was set to take place April 9-12.,2020-03-13
601,Pregnant 19-Year-Old Dies Trying To Climb U.S. Border Wall,U.S. Customs and Border Protection blamed Girón’s death on human smugglers who encouraged her to try to climb the wall.,2020-03-13
602,Head Of U.S. Soccer Resigns After Equal Pay Backlash,"“My one and only mission has always been to do what is best for our Federation,"" Carlos Cordeiro wrote in a letter announcing his immediate resignation.",2020-03-13
603,"Drive-Thru Coronavirus Test Centers Are Coming, But First They Need Test Kits","Colorado, Connecticut and the University of Washington are using the procedure to a limited degree.",2020-03-12
604,"Tom Hanks, Rita Wilson Say They've Tested Positive For Coronavirus",Hanks said in a statement that the two had felt “tired” and “had colds and some body aches” before they were screened for COVID-19 in Australia.,2020-03-12
605,NCAA Will Limit March Madness Attendance Due To Coronavirus,The decision follows guidance from public health officials to limit large public gatherings on account of the COVID-19 pandemic.,2020-03-11
606,"Nearly 1,000 People Diagnosed With Coronavirus In U.S.",The number of COVID-19 cases reported across the country is expected to grow in coming days as testing efforts expand.,2020-03-11
607,"Only 6,563 Americans Have Been Tested For The Coronavirus So Far",But confusion about the exact number of people tested persists even at the highest reaches of government.,2020-03-10
608,Man Who Threatened To Kill Rep. Omar Gets Light Sentence After She Called For Leniency,"Patrick Carlineo Jr., who last year threatened to “put a bullet” in Rep. Ilhan Omar (D-Minn.), was sentenced to a year behind bars.",2020-03-09
609,New York State Will Produce Hand Sanitizer Made By Prison Inmates,"State prisoners, paid an average of 65 cents an hour, will make the product to combat shortages due to the coronavirus outbreak.",2020-03-09
610,The Preventable Death Of An Asylum Seeker In A Solitary Cell,An AP investigation into Roylan Hernandez Diaz's death found neglect and apparent violations of government policies by jailers under ICE.,2020-03-09
611,Home Coronavirus Test Kits May Soon Be Coming To Seattle,"The kits, funded by the Gates Foundation, reportedly will allow individuals who think they have COVID-19 to submit nose swabs without risking further spread.",2020-03-09
612,"Cruise Ship Hit By Coronavirus To Dock In Oakland, California","The Grand Princess, which is expected to arrive in Oakland on Monday, is carrying more than 3,500 people from over 50 countries.",2020-03-08
613,"U.S. Surgeon General Dodges Coronavirus Question, Praises Trump's Health In Interview",Jerome Adams complimented Trump's health but offered little information about who has been or will be tested for coronavirus.,2020-03-08
614,Cruise Ship Circles Off California Coast After 21 Test Positive For Coronavirus,"The Grand Princess, with thousands of people aboard, was forbidden to dock in San Francisco over fears of COVID-19.",2020-03-07
615,"Marnie, Who Went From Scraggly Shelter Dog To Internet Star, Dies At 18","""She enjoyed her chicken until the very end,"" read an emotional tribute to Marnie on Instagram, where the Shih Tzu had nearly 2 million followers.",2020-03-07
616,"New York State Coronavirus Cases Jump to 76, Gov. Cuomo Declares State Of Emergency",Most of the cases of COVID-19 in New York are concentrated in the state's Westchester County.,2020-03-07
617,Trump Signs $8.3 Billion Bill To Combat Coronavirus Outbreak In U.S.,The money would pay for a multifaceted attack on a virus that is spreading more widely every day.,2020-03-06
618,Cruise Passengers Off California Await Virus Test Results,"The Grand Princess — with more than 3,500 aboard — lay at anchor near San Francisco as officials scrambled to keep the virus at bay.",2020-03-06
619,Several Companies Will Not Appear At SXSW Due To Concerns About Coronavirus,"Netflix and Apple are the latest companies to pull out of this year's festival, citing coronavirus concerns.",2020-03-06
620,FDA Bans Shock Devices Used On Patients With Mental Disabilities,The devices have long been used by only one place in the U.S. -- a residential school in Massachusetts for people with developmental or mental disabilities.,2020-03-05
621,Critics Of 'American Dirt' Confront Author And Oprah In TV Special,Jeanine Cummins and Oprah Winfrey sit with critics to discuss the marginalization of Latinx voices.,2020-03-05
622,Coronavirus Death Rate Still Uncertain As Mild Cases Go Unreported,It's far too soon to predict whether the virus ultimately winds up worse than the flu or about the same.,2020-03-04
623,"Deadly Tornadoes Tear Through Nashville, Collapsing Buildings Around The City",At least 22 people are dead and dozens of buildings destroyed following the early morning storm.,2020-03-03
624,Man Gets More Than 5 Years' Prison For Harassing Parkland Victims,"A California man who is on the autism spectrum received the sentence for cyberstalking families of Parkland, Florida, school shooting victims.",2020-03-03
625,Lake Erie Homes Look Surreal After Being Encased With Thick Ice From Storm,"""It looks fake, it looks unreal,"" one resident living in the Hoover Beach neighborhood of Hamburg, New York, said.",2020-03-02
626,"U.S. Coronavirus Death Toll Climbs To 6, All In Washington State",Researchers believe COVID-19 may have been circulating in the state for weeks undetected.,2020-03-02
627,New York State Announces First Confirmed Coronavirus Case,"After announcing New York state's first confirmed coronavirus case, Gov. Andrew Cuomo urged New Yorkers to remain calm.",2020-03-02
628,University of California Santa Cruz Fires 54 Graduate Students After Wage Strike,The teaching assistants had withheld fall-quarter grades while demanding a cost-of-living wage adjustment.,2020-03-01
629,The Spectacular Finale of Mad Mike,"Could Mad Mike Hughes be more representative of our current warped political, social and economic times?",2020-03-01
630,The White House Is Really Screwing Up Its Coronavirus Response,President Donald Trump would rather protect the stock market than help stop a possible global pandemic.,2020-02-29
631,"Founder Of Trader Joe's Markets, Joe Coulombe, Dies At 89",The original Trader Joe leaves a legacy of affordable healthy food and goofy Hawaiian shirts.,2020-02-29
632,Northern California Woman With Coronavirus In Serious Condition,"The patient could be the first confirmed ""community spread"" case of the virus in the United States.",2020-02-28
633,Dog Pronounced Dead After Delta Flight From Ohio To Los Angeles,"The cause of death for Sebastian, a 12-week-old Yorkshire terrier puppy, is unclear.",2020-02-28
634,"California Monitoring 8,400 People For Coronavirus, But Needs More Test Kits",California has only 200 test kits and has appealed for testing protocols to be expanded.,2020-02-28
635,"Wharton School Names Its First Black, First Female Dean In History",Erika H. James has made history at the prestigious business school founded nearly 140 years ago.,2020-02-27
636,Car Thief Steals Hearse With A Body In The Back,Police later recovered the black Lincoln Navigator -- and the body -- on a South Los Angeles freeway after it crashed during a pursuit.,2020-02-27
637,"6 Dead, Including Gunman, After Molson Coors Facility Shooting In Milwaukee","“This is a tragic day for our city, for our state,” Milwaukee Mayor Tom Barrett said.",2020-02-26
638,Bill Cosby’s Publicist Calls Weinstein Verdict A ‘Sad Day’ For The Judicial System,"“I would challenge #metoo and ask them to go back 400+ years and tarnish the names of those oppressors that raped slaves,” Andrew Wyatt said.",2020-02-24
639,Runner With Broken Leg Crawls For 10 Hours Through Wilderness To Find Help,"Joseph Oldendorf's knees were bloodied and raw from crawling, but he said the thought of his family kept him moving.",2020-02-24
640,Video Shows Terrifying Moment Snowmobiler Is Swept Away By Avalanche,A snowmobiler in Colorado was caught in the torrent of snow but managed to keep their head above the surface.,2020-02-24
641,Harvey Weinstein Found Guilty In Rape Trial,"Once a powerful Hollywood mogul, Weinstein was forced to face his accusers in open court and hear their stories of assault.",2020-02-24
642,"Vanessa Bryant Sues Helicopter Company Over Crash That Killed Kobe, Gianna",The suit accuses Island Express Helicopters of negligence in allowing the pilot to fly the helicopter in heavy fog.,2020-02-24
643,Elderly Couple Missing Since Valentine's Day Found Alive In California Forest,"The hikers, both in their 70s, were rescued nearly a week after getting lost in the woods. They reportedly survived by drinking water from a puddle.",2020-02-23
644,U.S To Lay Out Case Against Julian Assange At Extradition Hearing,"On Monday, U.S. lawyers will deliver arguments in a UK court, hoping to extradite the Wikileaks founder who faces espionage charges in the U.S.",2020-02-23
645,Woman Struck And Killed By Mardi Gras Float During Parade,"The woman, who hasn’t been identified, appeared to have tried to cross in between a tandem float when she tripped over its hitch and was run over.",2020-02-20
646,"Florida Can't Stop Felons From Voting Over Unpaid Fines, Court Rules",The office of Gov. Ron DeSantis (R) said the state would appeal the decision.,2020-02-20
647,12-Year-Old Boy Hospitalized After Body Slammed By School Employee: Cops,"The child was being disciplined for cutting into a lunch line. Thrown to the ground, he suffered a fractured skull.",2020-02-19
648,Mississippi Braces For More Rain As Hundreds Of Homes Flooded In Jackson Area,Gov. Tate Reeves has warned Mississippians that the state is “not in the clear yet.”,2020-02-19
649,Ruth Bader Ginsburg Wows Instagram Users With Fabulous Glittery Look,"""Look at this queen with her sparkly shoes,"" one user wrote of the Supreme Court justice's look.",2020-02-19
650,Boy Scouts File For Bankruptcy Amid Rampant Sex Abuse Allegations,"Nearly 8,000 alleged abusers have been identified among the Boy Scouts’ leaders and volunteers dating back to 1944.",2020-02-18
651,"After Sharing Bloody Image Online, Man Sues Mississippi Cops For Alleged ‘Brutal’ Attack","Davidtron Logan claims he was beaten with flashlights, choked and punched by a group of officers after being detained at a roadblock stop last year.",2020-02-18
652,14 People Evacuated To U.S. From Japan Test Positive For Coronavirus,"The individuals had tested negative for the virus before they were evacuated from the quarantined Diamond Princess cruise ship, officials said Monday.",2020-02-17
653,"Donald Stratton, USS Arizona Crew Member And Pearl Harbor Survivor, Dead At 97","“One of Donald’s final wishes was that people remember Pearl Harbor and the men aboard the USS Arizona...and never forget those who gave all for our great country.""",2020-02-17
654,"1 Dead, 4 Wounded In Connecticut Club Shooting","A 28-year-old man died in the shooting at the Majestic Lounge in Hartford’s South End, police Lt. Paul Cicero said.",2020-02-16
655,Trump Takes Daytona 500 Warmup Lap In Presidential Limousine,"The presidential motorcade took to the track to join in a warm-up lap after he told the crowd that the racers and their teams were competing “for pure American glory.""",2020-02-16
656,More Than 40 Americans Infected With Coronavirus On Quarantined Cruise Ship,"The Americans are among 355 people who have tested positive for the virus while aboard the Diamond Princess, a Japanese official said.",2020-02-16
657,Third Member Of High School Cross-Country Team Struck By Speeding Truck Dies,"The student-runners were killed after a 57-year-old man under the influence of alcohol drove into a crowd, Oklahoma police said.",2020-02-16
658,Skittles And Manchego Blast Off To Satisfy Space Station Crew Cravings,A cargo capsule launched from Virginia to bring supplies — including snacks — to the International Space Station.,2020-02-16
659,"Barack, Michelle Obama Celebrate Valentine's Day With Sweet Photo Exchange","""You make even the coldest days feel warm,"" the former first lady captioned her cute snap of Barack and their daughters playing in the snow.",2020-02-15
660,Flyers Dive-Bomb Delta CEO For Suggesting They Ask Permission Before Reclining Seats,"Ed Bastian tried to calm the battle over reclining airplane seats, but only served to ratchet it up sky high.",2020-02-15
661,Former MSU Gymnastics Coach Convicted For Lying About Larry Nassar Abuses,"Michigan State University coach Kathie Klages lied to police about Larry Nassar, a jury ruled Friday.",2020-02-14
662,"Here's Exactly Why You Should Never, Ever Try To Drive Through A Flooded Road",The water can be a lot deeper than it looks.,2020-02-14
663,"Florida 'Red Flag' Law Removes Hundreds Of Guns In 2 Years, But Is Used Inconsistently","An Associated Press analysis of the ""red flag"" law showed its use is inconsistent, with some counties and cities using it rarely and others not at all.",2020-02-14
664,NASA Astronaut Reunites With Her Dog After 328 Days In Space,Christina Koch's pup was absolutely beside herself after her owner's record-setting stint away from Earth.,2020-02-13
665,Evacuee Quarantined At Texas Air Base Tests Positive For Coronavirus,The person was among a group recently evacuated from China. The case brings the total in the U.S. to 15.,2020-02-13
666,Colin Kaepernick To Release Memoir: 'I Want To Tell The Story Of My Evolution',"The activist will release the book under his new publishing company, Kaepernick Publishing.",2020-02-13
667,U.S. Men's Soccer Team Says Women Team's Pay Should Be Tripled,"Players on the World Cup-winning U.S. women's national soccer team are suing soccer officials for “institutionalized gender discrimination,” demanding equal pay.",2020-02-13
668,"White Supremacist Propaganda Spreading, ADL Says",2019 is the second straight year that the circulation of propaganda material has more than doubled.,2020-02-12
669,2 Dolphins With Bullet Holes And Suspected Stab Wounds Found In Florida,"A $20,000 reward is being offered to anyone who can help solve the case.",2020-02-12
670,"2 Ohio State Football Players Accused Of Rape, Kidnapping","Police charged defensive players Amir I. Riep and Jahsen L. Wint, both 21, and warrants have been issued for their arrests.",2020-02-12
671,"Here Are Pics Of Siba, The Supremely Extra Winner Of The Westminster Dog Show","Introducing Queen Siba, the standard poodle. Long may she reign.",2020-02-12
672,Another Inmate Dies In Mississippi Prison After DOJ Opens Civil Rights Investigation,"Following a spate of deaths at Mississippi State Penitentiary, the Justice Department opened a civil rights investigation. Now, another death has been added to the list.",2020-02-11
673,Video Shows Deputy Threatening To Shoot High Schooler For Trying To Leave Campus,"The teen was expelled over the incident, his mom has said. She wants the deputy and a school employee to face similar consequences.",2020-02-10
674,"Man Arrested For Allegedly Posing As Uber, Lyft Driver To Sexually Assault Riders",California authorities said multiple investigations revealed that Nassef Ragheb preyed on women over a three-year span.,2020-02-09
675,Martin Luther King Jr. Ponders Meaning Of Love In Newly Discovered Note,"The ""extremely rare"" note is being sold for $42,000.",2020-02-09
676,New Details Released On Kobe Bryant Helicopter Crash,"The cockpit was extremely fragmented and the entire cabin had been engulfed in flames, the National Transportation Safety Board says.",2020-02-08
677,American In Wuhan Becomes First Non-Chinese National To Die From Coronavirus,The virus has spread to some two dozen countries with five British nationals infected in a French ski resort.,2020-02-08
678,Bill Cosby Tweets From Prison To Thank Snoop Dogg For Defending Him,"The rapper attacked Gayle King for bringing up Kobe Bryant's sexual assault charge, then added, ""Free Bill Cosby.""",2020-02-07
679,Frustration In Colorado City As Cop Found Drunk In Patrol Car Avoids Prosecution,A district attorney has complained that he was not legally able to prosecute the officer.,2020-02-07
680,"High Water Wreaks Havoc On Great Lakes, Swamping Communities",Scientists say the sharp turnaround between the lakes' low and high levels is linked to climate change.,2020-02-07
681,Renowned African Musician Accuses TSA Of Wrecking His Instrument,“What does this tell us about the attitude of the administration towards African musicians?” asked a post on kora player Ballaké Sissoko's Facebook page.,2020-02-07
682,Hawaii 'Doomsday' Mom Left Missing Kids' Belongings In Storage Unit,"Joshua Vallow, 7, and his sister, Tylee Ryan, 17, disappeared from their Idaho home in September. Their mother and her new husband fled to Hawaii.",2020-02-06
683,"Puppy Starts House Fire, Sits On The Couch And Watches It All Burn",Los Alamos County Fire Department in New Mexico recommends that the pup should perhaps enroll in a youth firesetting intervention program.,2020-02-06
684,Dianne Feinstein Calls For Crash-Warning Systems On Helicopters After Kobe Bryant’s Death,The helicopter did not have a Terrain Awareness and Warning System that signals when an aircraft is in danger of hitting the ground.,2020-02-06
685,"New York State Effectively Bans Broker Fees, Which Often Cost Renters Thousands","State officials said brokers can no longer charge the fees, which often cost up to 15% percent of an annual lease, giving an unexpected gift to renters.",2020-02-06
686,California May Pause Student Fitness Tests For 3 Years Due To Bullying,The state has also received complaints that the test discriminates against disabled and non-binary students.,2020-02-05
687,There's Paw-Some News About The 'World's Worst Cat',"Mitchell County Animal Rescue's viral adoption ad for Perdita the ""jerk"" did the trick.",2020-02-04
688,Twitter Rips Trump Over Super Bowl Ad Featuring Alice Marie Johnson,"The president granted clemency to Johnson, a Black woman and a first-time nonviolent offender, after Kim Kardashian highlighted her case.",2020-02-03
689,2 Dead In Shooting At Texas A&M University-Commerce Campus Residence Hall,Classes have been canceled after three people were shot. One of the victims is a 2-year-old child.,2020-02-03
690,"1 Dead, Multiple Wounded In Shooting On Greyhound Bus In California","A suspect has been taken into custody for the early morning shooting north of Los Angeles, authorities said.",2020-02-03
691,"Author Mary Higgins Clark, 'Queen of Suspense,' Dead At 92",Her tales of women triumphing over danger made her one of the world’s most popular writers.,2020-02-02
692,Gun Rights Activists Carrying Semi-Automatic Weapons Rally Inside Kentucky Capitol,"They were allowed to step around metal detectors, which many people pointed out showed an immense amount of privilege.",2020-02-02
693,Groundhog Punxsutawney Phil Predicts An Early Spring,But don't put your snowshoes away just yet. Phil's recent prognostications have rarely been correct.,2020-02-02
694,NRA Chief Of Staff Accused of Sex Harassment Is Reportedly Out Of Organization,"The change is another sign of upheaval for the National Rifle Association, which faces a series of lawsuits over expenditures and media leaks.",2020-02-02
695,University Football Coach In Michigan Who Called Hitler A ‘Great Leader’ Resigns,"Morris Berger, the new offensive coordinator for Grand Valley State University’s football team, apologized for his ""absurd"" and ""insensitive"" remarks.",2020-01-30
696,FDA Issues Warning To Purell Over Claims It Can Prevent Ebola Or Flu,The hand sanitizer company said it has begun updating information on its website in order to avoid legal action.,2020-01-29
697,White Supremacist Dylann Roof Appeals Death Penalty In Church Massacre,The Charleston church shooting resulted in the first-ever death sentence for a federal hate crime.,2020-01-28
698,"All 9 Bodies Recovered From Kobe Bryant Helicopter Wreckage, Officials Say","The basketball legend's personal pilot was trying to avoid heavy fog before the crash, according to authorities.",2020-01-28
699,Trump Administration Expands Coronavirus Screenings To 20 Airports,HHS Secretary Alex Azar stressed that only a few cases of the Wuhan virus have been confirmed in the U.S.,2020-01-28
700,Helicopter Pilot In Kobe Bryant Crash Tried To Climb To Avoid Fog,NTSB officials said the pilot had asked for and received special clearance to fly in heavy fog just minutes before the crash.,2020-01-28
701,Bystanders Lift SUV Off Of Pinned Woman In Dramatic Manhattan Rescue,The woman was crossing the street at the crosswalk when an SUV struck her.,2020-01-28
702,Prince Andrew Has Not Answered Jeffrey Epstein Interview Requests: Attorney,"The British royal has been contacted by federal prosecutors and the FBI, the United States attorney in Manhattan said on Monday.",2020-01-27
703,"Grieving Fans Mourn Lakers Star At Staples Center, AKA 'The House Kobe Built'","The Los Angeles arena is hosting the Grammy Awards, but grief-stricken fans ignored police warnings to stay away from the area.",2020-01-27
704,"2 New Coronavirus Cases Confirmed In The U.S., Bringing Total To 5","The latest cases were confirmed in California and Arizona. Both individuals recently traveled to Wuhan, China.",2020-01-26
705,Mother Dog Found Dragging Her Puppies In A Crate On The Side Of The Road,A canine mom and her four pups are doing much better after being found in a sad state on a Georgia dirt road.,2020-01-25
706,CDC Confirms Second Case Of Coronavirus In The U.S.,"The virus has shut down travel and restricted festivities for the Lunar New Year, China's biggest holiday.",2020-01-24
707,Texas Student Who Traveled To China Being Tested For Possible Coronavirus,"If the patient, who has not been publicly identified, tests positive for coronavirus it would mark the second known U.S. case of the illness.",2020-01-24
708,A Guide To Not Getting Hacked,"Don't be like Jeff Bezos. We're breaking down the basics of what to do, what not to do and why it matters.",2020-01-23
709,"Rapper Juice WRLD Died From Accidental Overdose, Medical Examiner Determines",Juice WRLD was pronounced dead in a Chicago hospital in December.,2020-01-22
710,"U.S. Drinking Water Widely Contaminated With 'Forever Chemicals,' Watchdog Says","Some of the highest levels have been found in Miami, Philadelphia and New Orleans, according to a new report.",2020-01-22
711,CDC Confirms First Case Of Deadly Virus In U.S. As China Says Number Of Infections Now 440,"The new virus strain, which can spread from human-to-human contact, has killed at least nine people in China and sickened hundreds.",2020-01-21
712,Boeing Expects 737 MAX Planes To Return To Service Mid-2020,"The return of the company's top-selling aircraft, which has been grounded since March, was originally supposed to happen much sooner.",2020-01-21
713,"TSA Apologizes After Airport Agent Snaps Native Woman's Braids And Says, 'Giddy Up!'","""My hair is part of my spirit. I am a Native woman. I am angry, humiliated. Your 'fun' hurt,"" tweeted Ojibwe Tara Houska after the incident in Minnesota.",2020-01-18
714,U.S. To Screen Airline Passengers From China For New Illness,"The new virus that has sickened dozens and killed two, prompting worries about a new international outbreak.",2020-01-17
715,Welcome To 2020: 'OK Boomer' Is Being Thrown Around At The Supreme Court,Chief Justice John Roberts casually cited the retort during argument in an age discrimination case.,2020-01-16
716,Delta Flight Did Not Notify Air Traffic Control Before Los Angeles Fuel Dump,"Planes do dump jet fuel in emergency landings, but this one flew at low altitude over a populated area, affecting nearly 60 children and adults.",2020-01-16
717,Chilling Footage Shows How Quickly Dangerous Rogue Waves Can Strike,"The ""king tides"" took a deadly turn in Oregon.",2020-01-16
718,Judge Agrees To Block Trump Order On Refugee Resettlement,President Donald Trump has taken multiple steps to limit refugee resettlement in the U.S.,2020-01-15
719,"Michael Avenatti Arrested On Alleged Bail Violations, Prosecutors Say",The attorney was arrested again on Tuesday for allegedly violating the conditions of his pretrial release in connection with a fraud case pending in Los Angeles.,2020-01-15
720,Airplane Dumps Jet Fuel Over Los Angeles County Elementary Schools,"A Delta flight discharged fuel over schools in south Los Angeles County during an emergency landing, affecting over 50 children and adults.",2020-01-15
